t,T1,Q1
639.3204562664032,40.88,1.0
640.3204958438873,41.04,1.0
641.3204965591431,41.23,1.0
642.320506811142,41.52,1.0
643.3214893341064,41.52,1.0
644.3214983940125,41.81,1.0
645.322457075119,41.91,1.0
646.3233351707458,42.07,1.0
647.3233761787415,42.23,1.0
648.3243758678436,42.46,1.0
649.3253800868988,42.52,1.0
650.3263766765594,42.81,1.0
651.3269884586334,42.81,1.0
652.3274984359741,43.13,1.0
653.3275094032288,43.33,1.0
654.3275566101074,43.46,1.0
655.3282585144043,43.75,1.0
656.3283286094666,43.78,1.0
657.3286411762238,44.0,1.0
658.3290576934814,44.1,1.0
659.3298599720001,44.42,1.0
660.3298985958099,44.42,1.0
661.3299443721771,44.75,1.0
662.3309412002563,44.75,1.0
663.3309440612793,45.07,1.0
664.3309440612793,45.07,1.0
665.3319375514984,45.39,1.0
666.3329405784607,45.39,1.0
667.333901643753,45.71,1.0
668.3348984718323,45.75,1.0
669.3349015712738,46.04,1.0
670.3349387645721,46.07,1.0
671.335898399353,46.33,1.0
672.3359410762787,46.36,1.0
673.3365230560303,46.68,1.0
674.3368401527405,46.68,1.0
675.3368742465973,46.97,1.0
676.3368804454803,47.0,1.0
677.3378565311432,47.32,1.0
678.3378822803497,47.32,1.0
679.3388767242432,47.58,1.0
680.3396174907684,47.65,1.0
681.3399093151093,47.68,1.0
682.3403642177582,47.97,1.0
683.3412847518921,48.0,1.0
684.3412899971008,48.29,1.0
685.3422865867615,48.32,1.0
686.3431072235107,48.61,1.0
687.3438708782196,48.61,1.0
688.343911409378,48.9,1.0
689.3449077606201,48.94,1.0
690.3449077606201,49.13,1.0
691.3449115753174,49.26,1.0
692.3459033966064,49.45,1.0
693.3459088802338,49.61,1.0
694.3463582992554,49.64,1.0
695.3473505973816,49.9,1.0
696.3483476638794,49.9,1.0
697.3493499755859,50.16,1.0
698.3495614528656,50.22,1.0
699.3495626449585,50.32,1.0
700.3505198955536,50.55,1.0
701.350555896759,50.58,1.0
702.3515553474426,50.87,1.0
703.3525557518005,50.87,1.0
704.3534731864929,51.16,1.0
705.3535122871399,51.19,1.0
706.3537020683289,51.35,1.0
707.3541085720062,51.51,1.0
708.354305267334,51.55,1.0
709.3543176651001,51.84,1.0
710.3553092479706,51.84,1.0
711.3562693595886,52.16,1.0
712.3562712669373,52.16,1.0
713.35657954216,52.45,1.0
714.3567643165588,52.48,1.0
715.3576145172119,52.54,1.0
716.3582954406738,52.8,1.0
717.3585777282715,52.9,1.0
718.3590152263641,53.13,1.0
719.3591022491455,53.13,1.0
720.3597962856293,53.19,1.0
721.3606612682343,53.45,1.0
722.3606655597687,53.45,1.0
723.3616290092468,53.61,1.0
724.3616690635681,53.77,1.0
725.3624584674835,53.77,1.0
726.3630702495575,54.06,1.0
727.363290309906,54.09,1.0
728.3633947372437,54.09,1.0
729.3634386062622,54.25,1.0
730.3640220165253,54.38,1.0
731.3650252819061,54.41,1.0
732.3660278320312,54.54,1.0
733.3670210838318,54.74,1.0
734.3671538829803,54.74,1.0
735.3671588897705,54.99,1.0
736.3675153255463,55.06,1.0
737.3676378726959,55.06,1.0
738.3676435947418,55.19,1.0
739.3686044216156,55.38,1.0
740.368635892868,55.38,1.0
741.3696012496948,55.57,1.0
742.3696432113647,55.7,1.0
743.3696434497833,55.7,1.0
744.3706438541412,55.8,1.0
745.3710451126099,56.03,1.0
746.3719511032104,56.03,1.0
747.3729090690613,56.03,1.0
748.3729104995728,56.19,1.0
749.3729469776154,56.35,1.0
750.3739120960236,56.35,1.0
751.3739473819733,56.41,1.0
752.3742554187775,56.67,1.0
753.3752145767212,56.67,1.0
754.3760104179382,56.67,1.0
755.3770108222961,56.77,1.0
756.3780126571655,56.99,1.0
757.3789737224579,56.99,1.0
758.3790147304535,57.02,1.0
759.3791468143463,57.31,1.0
760.380101442337,57.31,1.0
761.3801398277283,57.31,1.0
762.3811347484589,57.51,1.0
763.38210272789,57.64,1.0
764.3825302124023,57.64,1.0
765.383175611496,57.89,1.0
766.3833632469177,57.96,1.0
767.3843610286713,57.96,1.0
768.3843989372253,57.96,1.0
769.3844013214111,58.18,1.0
770.3844027519226,58.28,1.0
771.3854012489319,58.28,0.0
772.3864014148712,58.28,0.0
773.3873999118805,58.31,0.0
774.3883941173553,58.57,0.0
775.3883941173553,58.6,0.0
776.3893609046936,58.6,0.0
777.3893995285034,58.6,0.0
778.38942694664,58.93,0.0
779.3896803855896,58.93,0.0
780.3906767368317,58.93,0.0
781.3907172679901,58.93,0.0
782.3916766643524,58.93,0.0
783.3920438289642,58.93,0.0
784.3930020332336,58.93,0.0
785.3930423259735,58.93,0.0
786.3940045833588,58.93,0.0
787.3950042724609,58.93,0.0
788.3950045108795,58.93,0.0
789.3950378894806,58.93,0.0
790.3950426578522,58.73,0.0
791.3960375785828,58.6,0.0
792.3960430622101,58.6,0.0
793.3960430622101,58.6,0.0
